Hash,File,Operator,Start,End,StartLine,EndLine,Original,Replacement,Status,Time(ms)
m67304341,/root/folder/metana-bootcamp/module-1/src/TokenSaleRefund.sol,AOR,3243,3247,75,75," -= "," += ",killed,1677
m7da1edd4,/root/folder/metana-bootcamp/module-1/src/TokenSaleRefund.sol,AOR,3243,3247,75,75," -= ","  = ",killed,1634
mb18ff0e8,/root/folder/metana-bootcamp/module-1/src/TokenSaleRefund.sol,AOR,3243,3247,75,75," -= "," /= ",killed,1597
m1151e9ef,/root/folder/metana-bootcamp/module-1/src/TokenSaleRefund.sol,AOR,3243,3247,75,75," -= "," *= ",killed,1515
m195ee8f3,/root/folder/metana-bootcamp/module-1/src/TokenSaleRefund.sol,AOR,3243,3247,75,75," -= "," %= ",live,907
me1dbd1d3,/root/folder/metana-bootcamp/module-1/src/TokenSaleRefund.sol,BOR,2461,2465,60,60," <= ","  < ",killed,902
m1fc33dc4,/root/folder/metana-bootcamp/module-1/src/TokenSaleRefund.sol,BOR,2461,2465,60,60," <= ","  > ",killed,1507
mb4feb710,/root/folder/metana-bootcamp/module-1/src/TokenSaleRefund.sol,BOR,2461,2465,60,60," <= "," >= ",killed,1572
m5c7e0512,/root/folder/metana-bootcamp/module-1/src/TokenSaleRefund.sol,BOR,2461,2465,60,60," <= "," != ",killed,1511
m97e4427b,/root/folder/metana-bootcamp/module-1/src/TokenSaleRefund.sol,BOR,2461,2465,60,60," <= "," == ",live,906
m00579d0d,/root/folder/metana-bootcamp/module-1/src/TokenSaleRefund.sol,BOR,2511,2514,61,61," < "," <= ",killed,1500
mc4755ad5,/root/folder/metana-bootcamp/module-1/src/TokenSaleRefund.sol,BOR,2511,2514,61,61," < "," >=  ",killed,1690
m13bc3225,/root/folder/metana-bootcamp/module-1/src/TokenSaleRefund.sol,BOR,2511,2514,61,61," < "," > ",killed,1523
mdd2dc57a,/root/folder/metana-bootcamp/module-1/src/TokenSaleRefund.sol,BOR,2511,2514,61,61," < "," != ",killed,1529
m6a2fddab,/root/folder/metana-bootcamp/module-1/src/TokenSaleRefund.sol,BOR,2511,2514,61,61," < "," == ",killed,1594
mc9452903,/root/folder/metana-bootcamp/module-1/src/TokenSaleRefund.sol,BOR,2621,2624,63,63," / "," + ",killed,1576
mb178a831,/root/folder/metana-bootcamp/module-1/src/TokenSaleRefund.sol,BOR,2621,2624,63,63," / "," - ",killed,1515
m1910171d,/root/folder/metana-bootcamp/module-1/src/TokenSaleRefund.sol,BOR,2621,2624,63,63," / "," * ",killed,1505
m837a5ddd,/root/folder/metana-bootcamp/module-1/src/TokenSaleRefund.sol,BOR,2621,2624,63,63," / "," ** ",killed,1517
ma66fc0f8,/root/folder/metana-bootcamp/module-1/src/TokenSaleRefund.sol,BOR,2621,2624,63,63," / "," % ",killed,1686
m1b217f78,/root/folder/metana-bootcamp/module-1/src/TokenSaleRefund.sol,BOR,2596,2599,63,63," * "," + ",killed,1783
m14150b86,/root/folder/metana-bootcamp/module-1/src/TokenSaleRefund.sol,BOR,2596,2599,63,63," * "," - ",killed,1511
